id,nombre_completo,ciudad,banco,nro_transaccion,fecha,hora,monto,comentarios
1,Wilden Quinby,Cochabamba,Otros,2.01882E+14,09/11/2020,07:07,17.00,
2,Astrid Deason,Cochabamba,Otros,3.56263E+15,26/11/2020,12:21,17.00,s/n boleta sufragio
3,Drew Stallwood,Cochabamba,Otros,3.55422E+15,06/11/2020,17:05,17.00,
4,Owen Shovelin,Cochabamba,Otros,5.01012E+15,14/12/2020,17:29,17.00,
5,Dorita Drever,Cochabamba,Otros,5.01837E+17,04/12/2020,08:49,17.00,
6,Melinde Nials,Cochabamba,Otros,4.91749E+15,11/12/2020,17:12,17.00,
7,Charmion Buntin,Cochabamba,Banco Union,3.53723E+15,08/11/2020,14:18,17.00,s/n
8,Kev Blesli,Cochabamba,Banco Union,3.58851E+15,17/11/2020,11:37,17.00,corresponsal
9,Jedediah Van Cassel,Cochabamba,Banco Union,4.9031E+17,23/11/2020,14:04,17.00,corresponsal
10,Kevyn Cordeau,Cochabamba,Banco Union,4.84485E+15,01/11/2020,08:17,17.00,
11,Creighton Shatliff,Cochabamba,Banco Union,3.53098E+15,04/12/2020,17:38,17.00,s/n correo
12,Boy Haysar,Cochabamba,Banco Union,3.54379E+15,10/11/2020,13:08,17.00,
13,Jourdain Eberst,Cochabamba,Banco Union,6.33349E+18,03/12/2020,10:17,17.00,
14,Wolf Beinke,Cochabamba,Banco Union,3.56433E+15,13/11/2020,09:24,17.00,
15,Leontine Pullin,Cochabamba,Banco Union,3.54495E+15,12/11/2020,14:10,17.00,
16,Skippie Wheatley,Cochabamba,Banco Union,3.55005E+15,28/11/2020,07:41,17.00,
17,Zarla Eastwell,Cochabamba,Banco Union,3.58123E+15,14/12/2020,10:17,17.00,
18,Sandy O'Lynn,Cochabamba,Banco Union,3.56905E+15,06/11/2020,13:16,17.00,
19,Ailsun Sowerby,Cochabamba,Banco Union,3.56025E+15,18/11/2020,12:13,17.00,
20,Lisle Adie,Cochabamba,Banco Union,3.72302E+14,08/12/2020,08:30,17.00,
21,Cristobal Shewon,Cochabamba,Banco Union,6.30489E+15,17/11/2020,09:51,17.00,
22,Joellyn Geibel,Cochabamba,Otros,3.54947E+15,03/11/2020,09:51,17.00,
23,Randi Laetham,Cochabamba,Banco Union,3.57033E+15,21/11/2020,06:15,17.00,
24,Shermie Duckers,Cochabamba,Banco Union,5.10014E+15,14/11/2020,08:35,17.00,
