ci,tipo_tramite,fecha,codigo_qr
9120,nuevo,01/12/2020,7z723o8369x7:23803
6098,perdida,01/12/2020,7s766b5147g3:88629
3014,perdida,01/12/2020,1e340j6386v9:63313
8387,perdida,01/12/2020,9i328e1212i2:74313
7238,nuevo,01/12/2020,8d274m7421w0:54677
679,renovacion,01/12/2020,6l120h5398i1:87820
6761,nuevo,01/12/2020,3g563a1558t8:29032
5214,renovacion,01/12/2020,6d862y6562e1:36346
3537,nuevo,01/12/2020,3n523p9207j1:77614
505,renovacion,01/12/2020,8g734v7169k0:67872
5930,perdida,01/12/2020,4h457l8430b4:20257
2395,renovacion,01/12/2020,5v691o3498l9:82631
6802,renovacion,01/12/2020,3s787n7952u1:36730
3604,renovacion,01/12/2020,6a412y8063j0:10732
1153,perdida,01/12/2020,7a253w9185p7:21313
275,nuevo,01/12/2020,1p267s6471m8:41257
3108,nuevo,01/12/2020,5r275u1466y7:66446
1583,nuevo,01/12/2020,8k228r2881u7:54561
3320,nuevo,01/12/2020,4u371i8604e3:97201
9873,renovacion,01/12/2020,1s136d6211d6:11784
2752,perdida,01/12/2020,7r879a1291n4:34367
2940,renovacion,01/12/2020,7k607y4939x1:62515
218,renovacion,01/12/2020,5y260l2163o8:32819
2361,perdida,01/12/2020,4z725j1427b0:76645
3110,perdida,01/12/2020,9t781t3244y4:68956
640,renovacion,01/12/2020,8r566c5861x9:65533
9915,perdida,01/12/2020,5v985e6952k4:83636
2064,perdida,01/12/2020,8q817v4452w1:18192
2274,nuevo,01/12/2020,5b233s3383s4:75755
1852,renovacion,01/12/2020,5q740k9352x6:11360
1696,nuevo,01/12/2020,4u440y9020w1:71574
6377,nuevo,01/12/2020,6u709j7235l8:43668
176,renovacion,01/12/2020,1t821w5091y9:36273
8849,renovacion,01/12/2020,4o135k5669d6:58067
9333,renovacion,01/12/2020,4t333b2740t5:45100
8548,nuevo,01/12/2020,4l373x9441i3:29696
9798,renovacion,01/12/2020,8p917h1541m9:55291
2918,renovacion,01/12/2020,6h728l8746o6:13185
7784,nuevo,01/12/2020,8p307f7922p7:53622
9129,nuevo,01/12/2020,9f464f8033c0:41111
3160,perdida,01/12/2020,7e891g3250m8:18760
7830,nuevo,01/12/2020,4s710t5920p1:22423
6350,renovacion,01/12/2020,2i573x1971x3:75109
3705,perdida,01/12/2020,9s903h4607g7:68382
5141,renovacion,01/12/2020,2l664v7724n4:79418
1501,perdida,01/12/2020,9g288p4107w5:71996
6965,nuevo,01/12/2020,7w818m6073n5:77290
2911,renovacion,01/12/2020,3d102a3731i6:26727
9012,renovacion,01/12/2020,2y773z1577x2:54199
3437,perdida,01/12/2020,3p964a9819k8:39716
6948,perdida,01/12/2020,3n519h9013q0:54843
4051,renovacion,01/12/2020,6k833z9630n1:58236
6542,nuevo,01/12/2020,2s627m1417v1:28700
9564,renovacion,01/12/2020,5x131j1160l7:46405
2691,renovacion,01/12/2020,7q463v7004z9:66608
6386,nuevo,01/12/2020,3b902e1939u8:51786
8030,perdida,01/12/2020,7q172u2620s6:71302
4142,perdida,01/12/2020,1h554n1531u9:58142
9009,renovacion,01/12/2020,7b667f5763q7:76468
2176,renovacion,01/12/2020,1p247k9044o4:37087
122,nuevo,01/12/2020,2z366h4977q2:75681
4618,nuevo,01/12/2020,4v270b5451d5:10844
7334,nuevo,01/12/2020,8c579f2256j2:41990
3558,renovacion,01/12/2020,4s213i7128d6:97624
1409,renovacion,01/12/2020,6d821j1255a7:72714
1617,renovacion,01/12/2020,8r210q9187c0:31622
1593,renovacion,01/12/2020,9q491k2699w1:15187
7699,renovacion,01/12/2020,4d487c2574l4:21844
7192,perdida,01/12/2020,9n458p6672t8:99703
6025,nuevo,01/12/2020,2s622v5407g4:22895
354,renovacion,01/12/2020,1l744h6413p6:44251
4645,perdida,01/12/2020,9x758q2063i4:78926
3147,renovacion,01/12/2020,4a574g8117j5:88449
7271,renovacion,01/12/2020,6i485i5574b7:66460
6877,renovacion,01/12/2020,4v163j3491g2:82221
8051,renovacion,01/12/2020,6z701v1660a7:51912
5832,nuevo,01/12/2020,1m959o5769h5:26199
1209,renovacion,01/12/2020,2e818k2964u5:95770
5485,perdida,01/12/2020,5m180g4078l9:78567
1698,renovacion,01/12/2020,8j728o5792z6:40675
4594,perdida,01/12/2020,3o685f5757b0:14740
3377,renovacion,01/12/2020,9a194v7228e8:96908
1839,nuevo,01/12/2020,6c834e7709d6:32025
4482,renovacion,01/12/2020,5s896z6290a5:75490
4903,perdida,01/12/2020,1z560u8073z7:63134
